datetime,year,name,latitude,longitude,max_wind_knots,category
1894-09-25 19:00:00,1894,AL041894,26.5,-82.0,90,2
1894-09-27 07:00:00,1894,AL041894,32.3,-80.7,80,1
1894-10-09 03:00:00,1894,AL051894,30.2,-85.5,105,3
1894-10-10 15:00:00,1894,AL051894,40.7,-72.9,75,1
1896-07-07 17:00:00,1896,AL011896,30.4,-86.5,85,2
1896-09-10 13:00:00,1896,AL021896,41.2,-70.6,70,1
1896-09-29 11:00:00,1896,AL041896,29.2,-83.1,110,3
1897-09-13 05:00:00,1897,AL021897,29.7,-93.8,75,1
1898-08-02 23:00:00,1898,AL011898,29.7,-84.8,70,1
1898-08-31 07:00:00,1898,AL021898,32.1,-80.8,75,1
1898-10-02 16:00:00,1898,AL071898,30.9,-81.4,115,4
1899-08-01 17:00:00,1899,AL021899,29.7,-84.7,85,2
1899-08-18 01:00:00,1899,AL031899,35.2,-75.8,105,3
1899-10-31 09:00:00,1899,AL091899,33.6,-79.0,95,2
1900-09-09 02:00:00,1900,AL011900,29.1,-95.1,120,4
1901-07-11 07:00:00,1901,AL031901,36.0,-75.8,70,1
1901-08-14 21:00:00,1901,AL041901,29.3,-89.6,75,1
1901-08-15 17:00:00,1901,AL041901,30.4,-88.8,75,1
1903-09-11 23:00:00,1903,AL031903,26.1,-80.1,75,1
1903-09-13 23:00:00,1903,AL031903,30.1,-85.6,80,1
1903-09-16 11:00:00,1903,AL041903,39.1,-74.7,70,1
1904-09-14 13:00:00,1904,AL021904,33.1,-79.2,70,1
1904-10-17 08:00:00,1904,AL041904,25.3,-80.3,70,1
1906-06-17 03:00:00,1906,AL021906,24.7,-81.1,70,1
1906-06-17 08:00:00,1906,AL021906,25.2,-80.7,75,1
1906-09-17 22:00:00,1906,AL051906,33.3,-79.2,80,1
1906-09-27 11:00:00,1906,AL061906,30.2,-88.6,95,2
1906-10-18 10:00:00,1906,AL081906,24.7,-81.1,105,3
1906-10-18 12:00:00,1906,AL081906,25.3,-80.7,105,3
1908-05-29 21:00:00,1908,AL021908,35.2,-75.6,65,1
1908-07-31 11:00:00,1908,AL031908,34.6,-77.1,70,1
1909-06-29 17:00:00,1909,AL021909,26.1,-97.2,85,2
1909-07-21 17:00:00,1909,AL041909,28.9,-95.3,100,3
